App ID,Name,Playtime (Hours)
2630,Call of Duty 2,4.72
20,Team Fortress Classic,0.0
50,Half-Life: Opposing Force,0.0
70,Half-Life,0.92
130,Half-Life: Blue Shift,0.0
220,Half-Life 2,0.0
280,Half-Life: Source,0.0
320,Half-Life 2: Deathmatch,0.0
360,Half-Life Deathmatch: Source,0.0
550,Left 4 Dead 2,4.33
43110,Metro 2033,10.23
8190,Just Cause 2,0.0
35140,Batman: Arkham Asylum GOTY Edition,23.42
8930,Sid Meier's Civilization V,9.73
22380,Fallout: New Vegas,0.0
40800,Super Meat Boy,1.28
47870,Need for Speed: Hot Pursuit,0.78
620,Portal 2,7.27
20920,The Witcher 2: Assassins of Kings Enhanced Edition,6.02
28050,Deus Ex: Human Revolution,0.3
65800,Dungeon Defenders,0.0
9200,RAGE,0.58
72850,The Elder Scrolls V: Skyrim,4.68
55230,Saints Row: The Third,1.95
105800,PixelJunk™ Eden,0.23
207490,Rayman Origins,1.33
201700,DiRT Showdown,0.0
204100,Max Payne 3,10.98
17300,Crysis,0.0
17330,Crysis Warhead,0.0
17340,Crysis Wars,0.0
108800,Crysis 2 Maximum Edition,1.45
202170,Sleeping Dogs™,2.07
200260,Batman: Arkham City GOTY,10.57
212680,FTL: Faster Than Light,1.02
49520,Borderlands 2,40.87
200710,Torchlight II,1.53
204360,Castle Crashers,0.0
219150,Hotline Miami,7.5
219640,Chivalry: Medieval Warfare,1.03
211400,Deadlight,0.33
220240,Far Cry® 3,113.9
203140,Hitman: Absolution,1.68
205930,Hitman: Sniper Challenge,0.0
2280,DOOM + DOOM II,0.0
2290,Final DOOM,0.0
2300,DOOM II,2.52
9160,Master Levels for DOOM II,0.0
12100,Grand Theft Auto III,0.0
12110,Grand Theft Auto: Vice City,0.0
12120,Grand Theft Auto: San Andreas,0.0
12170,Grand Theft Auto,0.0
12180,Grand Theft Auto 2,0.0
12210,Grand Theft Auto IV: The Complete Edition,2.63
12230,Grand Theft Auto III,0.0
12240,Grand Theft Auto: Vice City,0.0
12250,Grand Theft Auto: San Andreas,0.0
219890,Antichamber,4.02
238960,Path of Exile,5.98
228760,TrackMania² Canyon,2.88
203160,Tomb Raider,27.4
8870,BioShock Infinite,20.78
233720,Surgeon Simulator,1.2
233270,Far Cry® 3 Blood Dragon,2.4
224760,FEZ,3.13
220200,Kerbal Space Program,20.48
204450,Call of Juarez Gunslinger,4.17
244210,Assetto Corsa,1.17
209000,Batman™: Arkham Origins,20.22
250320,The Wolf Among Us,0.87
255480,NBA 2K14,56.15
249130,LEGO® MARVEL Super Heroes,7.8
242050,Assassin's Creed IV Black Flag,13.85
219990,Grim Dawn,19.85
244930,SNOW,2.53
257850,Hyper Light Drifter,0.07
7670,BioShock,1.4
8850,BioShock 2,0.0
409710,BioShock Remastered,3.17
409720,BioShock 2 Remastered,0.0
221910,The Stanley Parable,3.98
244090,Sid Meier's Ace Patrol: Pacific Skies,0.0
265930,Goat Simulator,0.45
268850,EVGA Precision X1,37.22
268910,Cuphead,6.03
269050,Year Walk,0.03
271590,Grand Theft Auto V Legacy,7.45
3240220,Grand Theft Auto V Enhanced,0.0
283640,Salt and Sanctuary,1.07
287340,Colin McRae Rally,0.0
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,106.13
245490,Trials Fusion,15.75
298110,Far Cry 4,37.42
300380,Road Redemption,0.18
286690,Metro 2033 Redux,2.32
287390,Metro: Last Light Redux,0.02
243470,Watch_Dogs,11.03
304430,INSIDE,6.93
310560,DiRT Rally,1.0
310790,Geometry Wars 3: Dimensions Evolved,4.67
311340,METAL GEAR SOLID V: GROUND ZEROES,4.6
269210,Hero Siege,0.0
241930,Middle-earth™: Shadow of Mordor™,7.48
321040,DiRT 3 Complete Edition,0.0
274170,Hotline Miami 2: Wrong Number,2.12
258520,The Vanishing of Ethan Carter,1.62
400430,The Vanishing of Ethan Carter Redux,0.52
261640,Borderlands: The Pre-Sequel,3.08
305620,The Long Dark,2.32
335300,DARK SOULS™ II: Scholar of the First Sin,0.0
257510,The Talos Principle,5.4
351510,Quiplash,0.67
359320,Elite Dangerous,20.65
361420,ASTRONEER,10.77
311210,Call of Duty: Black Ops III,7.23
368370,Her Story,4.1
374030,Virginia,2.72
374320,DARK SOULS™ III,78.9
377160,Fallout 4,76.58
384180,Prominence Poker,1.63
384190,ABZÛ,0.57
383870,Firewatch,4.47
397540,Borderlands 3,5.5
234140,Mad Max,5.45
413150,Stardew Valley,3.03
208650,Batman™: Arkham Knight,51.27
210970,The Witness,25.58
391220,Rise of the Tomb Raider,20.3
434170,The Jackbox Party Pack 3,16.97
442070,Drawful 2,1.33
275850,No Man's Sky,3.42
379720,DOOM,2.98
292030,The Witcher 3: Wild Hunt,213.6
526870,Satisfactory,1.42
531640,Eternal Card Game,0.8
418370,Resident Evil 7 Biohazard,0.0
480490,Prey,8.53
546560,Half-Life: Alyx,3.97
548570,RAGE 2,1.65
578080,PUBG: BATTLEGROUNDS,10.22
578650,The Outer Worlds,1.9
588650,Dead Cells,27.95
601150,Devil May Cry 5,1.35
378540,The Surge,35.17
552520,Far Cry 5,27.02
644830,The Surge 2,5.65
644930,They Are Billions,19.42
675010,MudRunner,0.8
414340,Hellblade: Senua's Sacrifice,7.25
747350,Hellblade: Senua's Sacrifice VR Edition,0.0
435150,Divinity: Original Sin 2,25.8
750920,Shadow of the Tomb Raider,3.17
814380,Sekiro™: Shadows Die Twice,102.0
570940,DARK SOULS™: REMASTERED,0.0
356190,Middle-earth™: Shadow of War™,0.97
924970,Back 4 Blood,14.68
961440,"Resident Evil 2 ""1-Shot Demo""",0.0
524220,NieR:Automata™,49.07
1092790,Inscryption,7.37
1085660,Destiny 2,42.25
1172380,STAR WARS Jedi: Fallen Order™ ,33.48
1174180,Red Dead Redemption 2,39.57
1222730,STAR WARS™: Squadrons,0.98
1237970,Titanfall® 2,0.0
952060,Resident Evil 3,3.52
952070,RESIDENT EVIL RESISTANCE,0.0
1245620,ELDEN RING,1.92
883710,Resident Evil 2,3.03
1295920,The Mortuary Assistant,5.47
1551360,Forza Horizon 5,22.07
1593500,God of War,43.12
1517290,Battlefield™ 2042,0.0
1659420,UNCHARTED™: Legacy of Thieves Collection,1.65
1683340,Kayak VR: Mirage,0.15
1240440,Halo Infinite,2.77
1774580,STAR WARS Jedi: Survivor™,0.0
1789480,Marauders,3.03
1846380,Need for Speed™ Unbound,6.33
1659040,HITMAN World of Assassination,1.08
1888160,ARMORED CORE™ VI FIRES OF RUBICON™,1.62
1599340,Lost Ark,9.17
2054970,Dragon's Dogma 2,1.45
1919590,NBA 2K23,4.07
1693980,Dead Space,3.03
1888930,The Last of Us™ Part I,4.95
2313930,NFL Pro Era 2,0.5
2322010,God of War Ragnarök,71.48
2379780,Balatro,3.5
1971870,Mortal Kombat 1,3.57
1938090,Call of Duty®,56.62
2183900,"Warhammer 40,000: Space Marine 2",72.08
2680010,The First Berserker: Khazan,2.77
2694490,Path of Exile 2,94.63
440,Team Fortress 2,0.68
