App ID,Game Name,Playtime (Hours),Achievement API Name,Achievement Display Name,Description,Achieved (1=Yes),Unlock Time (UTC)
2630,Call of Duty 2,4.72,,,,,
20,Team Fortress Classic,0.0,,,,,
50,Half-Life: Opposing Force,0.0,,,,,
70,Half-Life,0.92,,,,,
130,Half-Life: Blue Shift,0.0,,,,,
220,Half-Life 2,0.0,HL2_HIT_CANCOP_WITHCAN,Defiant,,0,
220,Half-Life 2,0.0,HL2_PUT_CANINTRASH,Submissive,,0,
220,Half-Life 2,0.0,HL2_ESCAPE_APARTMENTRAID,Malcontent,Escape the apartment block raid.,0,
220,Half-Life 2,0.0,HL2_BREAK_MINITELEPORTER,What cat?,Break the mini-teleporter in Kleiner's lab.,0,
220,Half-Life 2,0.0,HL2_GET_CROWBAR,Trusty Hardware,Get the crowbar.,0,
220,Half-Life 2,0.0,HL2_KILL_BARNACLESWITHBARREL,Barnacle Bowling,Kill five barnacles with one barrel.,0,
220,Half-Life 2,0.0,HL2_GET_AIRBOAT,Anchor's Aweigh!,Get the airboat.,0,
220,Half-Life 2,0.0,HL2_GET_AIRBOATGUN,Heavy Weapons,Get the airboat's mounted gun.,0,
220,Half-Life 2,0.0,HL2_FIND_VORTIGAUNTCAVE,Vorticough,Discover the hidden singing vortigaunt cave in chapter Water Hazard.,0,
220,Half-Life 2,0.0,HL2_KILL_CHOPPER,Revenge!,Destroy the hunter-chopper in Half-Life 2.,0,
220,Half-Life 2,0.0,HL2_FIND_HEVFACEPLATE,Blast from the Past,Find the HEV Suit Charger faceplate in Eli's scrapyard.,0,
220,Half-Life 2,0.0,HL2_GET_GRAVITYGUN,Zero-Point Energy,Get the Gravity Gun in Black Mesa East.,0,
220,Half-Life 2,0.0,HL2_MAKEABASKET,Two Points,Use DOG's ball to make a basket in Eli's scrapyard.,0,
220,Half-Life 2,0.0,HL2_BEAT_RAVENHOLM_NOWEAPONS,Zombie Chopper,Play through Ravenholm using only the Gravity Gun.,0,
220,Half-Life 2,0.0,HL2_BEAT_CEMETERY,Hallowed Ground,,0,
220,Half-Life 2,0.0,HL2_KILL_ENEMIES_WITHCRANE,OSHA Violation,Kill 3 enemies using the crane.,0,
220,Half-Life 2,0.0,HL2_PIN_SOLDIER_TOBILLBOARD,Targetted Advertising,Pin a soldier to the billboard in chapter Highway 17.,0,
220,Half-Life 2,0.0,HL2_KILL_ODESSAGUNSHIP,Where Cubbage Fears to Tread,,0,
220,Half-Life 2,0.0,HL2_KILL_THREEGUNSHIPS,One Man Army,Destroy six gunships in Half-Life 2.,0,
220,Half-Life 2,0.0,HL2_BEAT_DONTTOUCHSAND,Keep Off the Sand!,Cross the antlion beach in chapter Sandtraps without touching the sand.,0,
220,Half-Life 2,0.0,HL2_KILL_ENEMIES_WITHANTLIONS,Bug Hunt,Use the antlions to kill 50 enemies.,0,
220,Half-Life 2,0.0,HL2_KILL_ENEMY_WITHTOILET,Flushed,Kill an enemy with a toilet.,0,
220,Half-Life 2,0.0,HL2_BEAT_TURRETSTANDOFF2,Warden Freeman,Survive the second turret standoff in Nova Prospekt.,0,
220,Half-Life 2,0.0,HL2_FOLLOWFREEMAN,Follow Freeman,Gain command of a squad of rebels in the uprising.,0,
220,Half-Life 2,0.0,HL2_BEAT_TOXICTUNNEL,Radiation Levels Detected,Get through the toxic tunnel under City 17 in Half-Life 2.,0,
220,Half-Life 2,0.0,HL2_BEAT_PLAZASTANDOFF,Plaza Defender,Survive the generator plaza standoff in chapter Anticitizen One.,0,
220,Half-Life 2,0.0,HL2_KILL_ALLC1709SNIPERS,Counter-Sniper,Kill all of the snipers in City 17.,0,
220,Half-Life 2,0.0,HL2_BEAT_SUPRESSIONDEVICE,Fight the Power,Shut down the supression device by disabling its generators.,0,
220,Half-Life 2,0.0,HL2_BEAT_C1713STRIDERSTANDOFF,Giant Killer,Survive the rooftop strider battle in the ruins of City 17.,0,
220,Half-Life 2,0.0,HL2_DISINTEGRATE_SOLDIERSINFIELD,Atomizer,Disintegrate 15 soldiers by throwing them into a Combine ball field.,0,
220,Half-Life 2,0.0,HL2_BEAT_GAME,Singularity Collapse,,0,
220,Half-Life 2,0.0,HL2_FIND_ALLLAMBDAS,Lambda Locator,Find all lambda caches in Half-Life 2.,0,
220,Half-Life 2,0.0,HLX_KILL_ENEMIES_WITHMANHACK,Hack Attack!,Kill five enemies with a Manhack.,0,
220,Half-Life 2,0.0,EP1_BEAT_MAINELEVATOR,Watch Your Head!,Make it to the bottom of the Citadel's main elevator shaft in one piece.,0,
220,Half-Life 2,0.0,EP1_BEAT_CITADELCORE,Containment,Contain the Citadel core.,0,
220,Half-Life 2,0.0,EP1_BEAT_CITADELCORE_NOSTALKERKILLS,Pacifist,Contain the Citadel core without killing any stalkers.,0,
220,Half-Life 2,0.0,EP1_KILL_ANTLIONS_WITHCARS,Car Crusher,Use the cars to squash 15 antlions in Episode One.,0,
220,Half-Life 2,0.0,EP1_BEAT_GARAGEELEVATORSTANDOFF,Elevator Action,Survive long enough to get on the parking garage elevator.,0,
220,Half-Life 2,0.0,EP1_KILL_ENEMIES_WITHSNIPERALYX,Live Bait,Help Alyx snipe 30 enemies in Episode One.,0,
220,Half-Life 2,0.0,EP1_BEAT_HOSPITALATTICGUNSHIP,Attica!,Destroy the gunship in the hospital attic.,0,
220,Half-Life 2,0.0,EP1_BEAT_CITIZENESCORT_NOCITIZENDEATHS,Citizen Escort,Don't let any citizens die when escorting them to the escape train.,0,
220,Half-Life 2,0.0,EP1_BEAT_GAME,Escape From City 17,Escape City 17 with Alyx.,0,
220,Half-Life 2,0.0,EP1_BEAT_GAME_ONEBULLET,The One Free Bullet,"Finish the game firing exactly one bullet. Grenade, crowbar, rocket, and Gravity Gun kills are okay!",0,
220,Half-Life 2,0.0,HLX_KILL_ENEMIES_WITHONEENERGYBALL,Conservationist,Kill five enemies with the same energy ball.,0,
220,Half-Life 2,0.0,HLX_KILL_ELITESOLDIER_WITHHISENERGYBALL,Think Fast!,Kill an Elite Soldier with his own energy ball.,0,
220,Half-Life 2,0.0,EPX_KILL_ZOMBIES_WITHFLARES,Zombie-que,Use flares to light 15 zombies on fire.,0,
220,Half-Life 2,0.0,EP2_KILL_POISONANTLION,Acid Reflex,Kill an acid antlion worker.,0,
220,Half-Life 2,0.0,EP2_KILL_ALLGRUBS,Get Some Grub,Squish every antlion grub in Episode Two.,0,
220,Half-Life 2,0.0,EP2_BREAK_ALLWEBS,Piñata Party,Find and break every web cache in Episode Two.,0,
220,Half-Life 2,0.0,EP2_BEAT_ANTLIONINVASION,Into the Breach,Help Griggs and Sheckley hold off the antlion invasion inside the mine shaft.,0,
220,Half-Life 2,0.0,EP2_BEAT_ANTLIONGUARDS,Twofer,Defeat both antlion guards outside the White Forest.,0,
220,Half-Life 2,0.0,EP2_KILL_ENEMIES_WITHCAR,Hit and Run,Run over 20 enemies with the car in Episode Two.,0,
220,Half-Life 2,0.0,EP2_BEAT_HUNTERAMBUSH,Meet the Hunters,Survive the Hunter ambush with Alyx.,0,
220,Half-Life 2,0.0,EP2_KILL_CHOPPER_NOMISSES,Puttin' On a Clinic,Defeat the chopper in Episode Two without any misses.,0,
220,Half-Life 2,0.0,EP2_KILL_COMBINECANNON,Gunishment!,Destroy the Combine Autogun in the junkyard.,0,
220,Half-Life 2,0.0,EP2_FIND_ALLRADARCACHES,Cache Checker,Find every radar cache in chapter Under The Radar.,0,
220,Half-Life 2,0.0,EP2_BEAT_RACEWITHDOG,Pedal to the Metal,Beat DOG in a race to the White Forest base.,0,
220,Half-Life 2,0.0,EP2_BEAT_ROCKETCACHEPUZZLE,Gordon Propelled Rocket,Unlock the rocket launcher lambda cache in chapter Under The Radar.,0,
220,Half-Life 2,0.0,EP2_BEAT_WHITEFORESTINN,Quiet Mountain Getaway,Survive the ambush at White Forest Inn.,0,
220,Half-Life 2,0.0,EP2_PUT_ITEMINROCKET,Little Rocket Man,Send the garden gnome into space.,0,
220,Half-Life 2,0.0,EP2_BEAT_MISSILESILO2,Secondary Silo Secured,Secure the launch doors on missile silo 2.,0,
220,Half-Life 2,0.0,EP2_BEAT_OUTLAND12_NOBUILDINGSDESTROYED,Neighborhood Watch,Save all buildings outside the missile silo from destruction.,0,
220,Half-Life 2,0.0,EP2_BEAT_GAME,Defense of the Armament,Save the missile silo from the Combine offensive.,0,
220,Half-Life 2,0.0,EP2_KILL_HUNTER_WITHFLECHETTES,Payback,Kill a Hunter with its own flechettes.,0,
